Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,1063.4201130805,1198.5070827196,1483.5159798031,1789.5895677819,2023.3999499184,2268.789977588,2542.5272702175,2946.2403938049,3452.5225119075,4220.961620546,4969.7818829958,5944.6708929694,6585.8402416104,6889.0049489336,7156.8534228733,7296.551772665,7652.102973745,8218.5974789469,7841.4640342947,8379.5767391658,8755.1564994547,9115.2345317227,9363.1866398544,9875.1617357212,9358.1541615448,9386.7164523854,9739.8255598111,10352.8373995306,11371.9389450962,12724.3937661984,14252.2945243095,14703.3192278764,13012.4669181422,12126.8761392994,11929.3499142745,12565.4419725532,12224.8641551267,12888.2966708807,13566.9054060515,14353.3788138742
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,1809.3114517085,1876.0141199763,1853.6142475178,1965.991477158,2130.1744597839,2279.8203192394,2342.168925132,2578.2778021197,2721.9477876753,2989.415343585,3302.5295732475,3492.5493708481,3946.5359848901,4766.9798881366,6478.6425126561,6998.2398688071,7480.5215262661,7769.5966799373,8246.3178455522,9287.1586253643,10201.978299827,11844.6325389079,12778.662566817,11528.1681004488,12448.7837250425,11452.6568883783,11379.5233690545,11643.9471829433,14283.3844458253,17838.3631204428,18249.2884923718,18865.3435224098,18616.320805516,17681.1468732669,18102.3175565572,20384.6692890518,21944.1550635542,23551.2221690706,21365.9814072816,20561.4767826095,21690.9209985418,19517.8416767171,20081.817625797,23465.3855857164,30472.3797728289,34016.7148304822,36118.2838130869,40991.9828858155,49664.6850434485,42742.9989811703,51874.0804819957,62245.100292102,67677.6347662796,67792.3038620501,62214.6091207999,56554.0387612447,49927.8195094751
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,935.4604268504,1031.8150043291,1087.8342434189,1167.0005324459,1269.4125828926,1374.5321398608,1486.9686060057,1569.6671828997,1677.6735280427,1825.3861255212,2053.8095138848,2375.24267361,2917.0048440333,3881.3497172508,4619.6017283145,5272.8876823354,5664.7074218718,6794.220945406,8185.7019712261,9770.1721500227,10843.3617230332,9362.6399845527,9387.6777275784,9514.4318344217,8969.4056179203,9150.001210501,13051.5556145522,16353.2794264234,17536.2720859964,17426.8635399064,21628.760231013,22356.923917186,24820.2278258852,24023.515467019,25584.9178245938,30252.7946924041,29742.4288063177,26646.8839392444,27289.6307093023,27116.6760790806,24517.2674460147,24489.7355313151,26351.3756769542,32102.9305523558,36693.4026205182,38242.0425174699,40430.993614499,46586.6502529235,51386.3766511975,47654.1872090808,46657.0629004957,51126.7413919311,48333.572726737,50504.7153221994,51322.6399728758,43665.0094707965,44176.5152160475
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1237.324491677,1209.2374928496,676.1515114525,530.0903798068,436.190558582,397.1981161172,409.2167452168,505.5605732289,561.9103017355,573.8902561721,655.0974326026,703.6838434327,763.0730858471,883.6439965472,1045.02162987,1578.402390296,2473.0857763684,3851.4378687117,5574.6038021861,4950.2947914238,5842.8057835858,7189.6912292077,7496.3357279968,7875.7569525429,7891.2997755885,5500.3103824441,3876.9364326427
Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,70.3490786065,71.4872777291,73.7817649496,78.9002836003,86.6031946365,51.6573646771,52.4767229562,55.1316867125,55.2434041878,56.0788814179,70.2431270893,72.1295529413,69.639192547,85.0470001459,95.4139510509,114.6635856321,119.9073909207,143.2891278369,155.9176618429,194.9753860695,223.4072261815,229.458186673,233.8176710365,243.4238066397,215.9441862753,244.568937521,248.2101339269,226.8497157851,210.7500958902,210.9695202922,209.0516151612,210.6438771995,191.3109129814,162.6352249535,157.5430014566,167.7991716762,143.8532932872,159.1755281232,144.4746121911,128.6964397439,135.9984454657,133.7427689265,122.4335892964,112.8493702922,127.4296648033,150.5070433688,165.8794175614,170.7999004718,196.2472628314,204.9446501898,231.1943256492,260.4799073382,265.2856051313,282.7555252082,312.748979387,303.6810222545,285.7274420647
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,1273.6916591029,1350.1976733312,1438.5232330684,1535.0237290104,1701.8462755432,1835.5947655319,1957.6260804276,2086.6360054465,2222.3615105191,2458.0818200377,2780.6988104348,3099.433090738,3852.1453628489,4927.2005875303,5764.4953302728,6737.2546186956,7281.8246212415,8472.0624712347,10344.8569090958,11873.8466230066,12932.8728254257,10679.6739869067,9393.8855692748,8893.5945355058,8502.5466297208,8797.6679901166,12235.1957023415,15216.8854016071,16478.8471704714,16613.532352038,20710.6639265195,21154.3118295821,23497.7496151112,22403.2380009978,24338.1606937986,28565.9461495143,27701.8519735545,25027.7778163399,25541.7182931865,25444.1392583071,23207.4059110078,23121.566347019,25052.3302823,30743.9569254283,35589.7129457001,36967.2829204297,38852.3610339939,44403.8313061102,48424.5892730273,44880.5601517887,44380.2374107585,47702.7741452744,44740.5717021938,46510.3864701585,47439.3968354953,40356.875002697,41096.1573021536
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,93.0225089907,95.5721547147,94.4645349844,99.8591138856,104.3397680399,110.1327938351,112.9408363835,111.9516019252,116.8950660219,116.0250943412,114.556596467,112.5700890876,134.819407935,161.9873736714,174.0141490856,207.3004397455,208.6561538305,218.4543657692,263.5810575509,327.8216779938,378.0438983039,337.9781947392,322.7776994534,271.1292402252,252.8697850448,244.4109988585,303.3488978583,344.5030707918,346.7360376814,311.6783038608,393.6862144235,385.7536160126,317.9628552861,411.9260305223,279.6665043268,367.3873410326,387.4329246363,361.1002697944,379.4423539545,403.6237038392,374.1923941592,378.7360539764,418.6985763471,519.2922846612,583.4093514307,601.7999769589,625.8300919765,706.0535419007,820.1513498193,793.4524300307,757.6959074094,825.9427853632,837.9505000754,915.2674585964,943.6865750314,783.9470909524,789.4404106856
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,68.4247485693,71.5581800924,76.5206113987,78.3720719424,80.4727667455,81.7251154955,82.5456368947,84.3631649404,84.7330493469,86.5202111123,81.4998986817,84.287815014,99.326764025,113.7805843388,124.3590304515,152.7282201142,155.6489979603,176.7833676663,225.9416525372,262.0760096422,282.6857352996,254.2307806751,245.094702439,217.9947508428,193.8432402847,200.8944225118,256.7623188086,291.1319638809,313.0618910957,304.8534387815,351.9793228525,346.4106724424,240.9634809804,244.1270734994,193.0702362988,235.8321972998,249.3602944156,229.4931177354,255.7182333817,265.3401155536,226.475981367,235.4912324362,260.7635413197,332.3443050656,371.323086483,406.9988070606,422.6332373602,475.1100121845,569.7612784202,552.7455521064,575.4464526877,666.8402782772,673.8227000241,699.0452846681,705.1464113219,615.5922250115,649.7304836558
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,88.6912106295,97.1427301802,99.5767136535,101.2604912339,99.5038642673,105.7891703437,111.6586394823,121.6620933802,121.5288976809,133.5754367468,138.2479646778,131.7557631797,93.0248701122,117.7258148821,179.045064976,272.7451978072,138.5922339318,128.8092611115,172.4146960397,196.4426256054,222.6323509486,241.8703692167,215.3932576003,199.3366454083,208.5346350842,239.0392204637,227.4230255688,247.0723119751,263.2227904511,277.8178390722,297.5679944525,284.7255997966,285.0954993694,291.7144952418,290.6524639532,319.6086943559,382.9357492586,389.5236244263,395.2974606698,397.3548218722,405.6033071418,402.5981151516,400.6135745334,432.7388972408,460.7579167304,484.155407058,494.0501465765,541.0651483951,615.7775410531,681.120536769,757.6717571769,835.7893401274,856.3428570274,951.8894534563,1084.5654298027,1210.1581204667,1358.7797522498
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,2238.8029578657,2234.8148157313,2169.0040108968,1852.813434428,1963.5726761827,1914.5506465879,2260.4272811545,3132.3013603625,2511.3930625949,2477.0208179596,2366.5298212861,1267.7343754149,1211.9808781093,1278.2471734611,1148.4943993817,1554.0469305143,1208.8502331198,1346.9127703109,1771.993942735,1643.6098949729,1609.2805861652,1764.9073865327,2087.5348425058,2710.4680235732,3381.5078365613,3893.6899804991,4513.1362795438,5932.8996765932,7296.1224785859,6955.9877325342,6843.2632888532,7813.8034994617,7378.0255394416,7674.8605591403,7853.3351908622,6993.4773597573,7350.7958008981
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,8537.9293793322,9269.2696165299,9446.158001946,9421.2856547764,9590.6830990651,8706.725084347,7041.5694700617,7555.066809448,7958.6794919654,8030.8545797818,8528.983334461,9055.5911140532,9082.7411688443,9698.1348036075,10130.41306842,10376.9348875001,10544.6671254851,10672.1839436858,10076.187784535,10401.4804488927,13636.3466837798,12868.2109970281,13102.3345682658,14221.9925934886,15846.4764093173,17959.1785373542,19307.9954920205,20977.1105261075,23067.5653465171,19356.6723557874,20722.1038895508,22810.1024185916,23649.3666139101,25010.1832908239,24983.3790153356,22688.8782442968,22354.1670706869
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,1550.3243149572,1651.4754770797,1752.9702927809,1867.1129875148,1994.5449196448,2144.8309713592,2322.9438530806,2556.8353008759,2804.7051308057,3215.4866719958,3179.2762715532,3297.998999212,3322.6682561193,3696.6631402627,3416.550062399,3156.4680594233,3328.6331919835,3617.25119349,4130.7508696709,5532.1508309389,6338.6198679395,6622.6856580438,7165.1344909772,7694.9379848748,8873.7691020151,9888.4893496444,10339.5210156776,11150.6900362788,11381.8215599869,12158.078848834,12350.9768428937,11914.8577643653,11682.084964717,11402.651522136,11812.4648870041,12239.8714974121,12717.1500052856,17287.9360211869,18456.6089774529,20505.947433679,21241.23669811,21497.5209065268,22506.3511419764,22009.2004332596,21996.4064912596,23405.4530158026,23719.1078819641,24301.2432520857,23652.3305303491,22037.1080100097,21921.5590634977,21523.9737238384,22575.5901935012,22590.3933835224,22550.2330120967,22888.1340509464,23124.3865532472
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.0200012196,485.6172766681,736.9753293553,978.5167280194,1097.644554612,1246.4971141002,1461.7505204703,1524.4120215233,1761.5376471886,2214.7322459187,2650.6426607979,2968.4118061197,3404.3216977157,4180.2921762581,5075.3160641585,4697.8097318085,4611.4702981171,5050.1568343696,4716.6733254221,5035.8655500917,5193.9049323235,4574.0907873513,4708.7182606562
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2124.8405142801,1708.8483421621,1675.8389164419,1590.6124613474,1460.0754875078,1370.6720427292,1452.4470018171,1396.5021663727,1511.7702679813,1210.6115995678,1276.2880341,1244.3731852343,1479.3831415112,1819.525644123,2378.3392066022,3126.0717666525,3848.2159664874,4735.4848267369,6376.1831529846,5176.1726492702,6030.3887066659,6519.7107533675,6940.243915083,7978.8254426009,8318.4292940932,5949.1106774982,4989.2546105641
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,304.917107254,316.4036061433,327.1268674684,336.9414661146,351.1611262696,377.5943051662,406.0979670736,420.4318881982,386.9532370109,396.6543062825,435.6904694156,474.4442162074,519.5635076681,605.9334407027,786.0690920439,885.98452906,717.0401828854,858.8280810868,980.8225092649,1074.2719648986,1350.9763795914,1307.2116883293,1183.1683168317,1212.9224371398,1315.2725027596,1268.1829481994,1343.7087186262,1586.4502065168,1758.9427352146,1979.3534602576,2202.3225558778,2326.8459027029,2666.9776705075,2833.061341187,2880.2111328183,2996.3829283495,3001.6651378723,2952.6021407363,2991.9249709055,3065.4922477053,3364.4237106524,3419.2757192608,3556.561825435,3679.9095232787,3831.5380185375,3933.332215464,4187.3780296959,4324.8764271616,4470.220795976,4258.7886114376,4344.1501766125,4516.2467496172,4673.6384804322,4688.5384434353,4852.2236660279,4849.9974950458,4810.5659019932
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,1902.4021189224,1961.5381692465,2020.3859650335,2020.2652475245,2199.7270069118,2282.2165461624,2630.8504663295,2982.7497042611,2830.1886792453,3053.7037037037,3387.2727272727,3866.3003663004,4343.1734317343,5009.2936802974,5853.9325842697,6509.4339622642,7261.2781954887,8370.7865168539,8876.8656716418,9613.3828996283,11218.2178159868,13425.9769663942,14166.1712925391,15902.0203826211,17469.8255675877,18269.5355197019,20450.6645289464,22411.7956749468,24253.1755188784,25517.9217212488,26841.5197383946,27700.3095169516,28669.6822595785,30900.6948905109,31476.0631153068,33989.7223579821,44826.7890701658,48478.8832504091,51371.7408069836,54245.459737293,56284.1686478094,58883.9594265967,62583.1002034588,66111.7252270036,70359.3191088798,75882.0338560339,83912.6977976846,90849.5869806436,93605.7481653976,88463.3128161375,88207.3275597322,85973.158416455,85458.455507886,85748.0654143782,85748.0654143782,85748.0654143782,85748.0654143782
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,152.4618458034,162.6957054245,174.4933859873,184.2755350051,203.6011494537,223.2783299318,239.3749160472,255.847966443,210.1898901212,218.5558012079,225.7482985561,238.111700313,267.6869789187,263.2106120369,428.4328637987,480.05076425,533.6275534809,616.6670740015,702.4289172792,808.4191206125,811.7768958423,1031.5161614432,958.6879038507,909.8477610102,1013.8009374051,865.6901106352,624.715420031,672.5655910428,697.3705600781,701.4646141371,709.9488612434,764.1413320844,791.3804292586,788.3990281488,806.2214519071,887.4685242566,958.4737661775,1006.9647386991,1058.7187495043,1012.5097733213,1007.0028688845,958.2366524089,913.5756422723,917.3643104862,978.3346484819,1046.4273841432,1233.5944354379,1389.634888005,1736.9350510229,1776.8664756219,1981.1607045044,2377.6759179413,2645.2277526015,2947.9385262805,3124.0003098252,3077.0261991716,3104.956089141
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,210.0274704295,204.9293015348,260.2252661271,291.9505890018,261.3310830557,260.9646925423,315.2773823792,346.8801003877,374.0832617582,403.0652523071,444.0262676018,503.4787661403,584.5506847714,772.8187913047,1000.634252691,1149.5861205932,1385.298529741,1560.8630604471,1737.3675521191,1901.001325044,1939.7908764715,2124.9629888796,2218.8905154592,1565.2978321106,1573.9671393322,1643.1965026761,1936.016335267,2081.665261869,2294.4016946603,2901.2854492707,3093.0374786382,3966.7954884916,2591.7971162781,2786.1713557448,3494.6405413511,4840.7877822321,5156.8054082658,5271.4111367233,5075.6311140883,3469.5039715162,3739.1190359679,3146.9501765492,2819.6495307119,3059.5875818904,3623.0476672932,4770.1827462882,5860.1459753466,7313.5579615595,8787.6103749883,8553.3804700727,11224.1540829355,13167.4728917533,12291.4668523291,12216.9044643396,12026.6173095243,8757.2062022872,8649.9484917506
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,4013.8307649601,4402.1836649409,4585.7831861301,4855.3548700666,5278.489562021,5508.4350281924,6028.7222106749,6616.3358045034,7012.3870871248,7733.0222135138,7728.5079136981,7734.1676533094,7464.8656803762,7842.4715428525,8148.3440732209,8537.1585610798,9069.0694415888,9549.7595949367,10727.4240987772,11200.3549439994,11568.1101067526,11513.8718916213,11675.3939484354,12028.5044743076,12868.8630941907,14223.8657630135,15646.0559135322,16462.4855636689,16570.3202809761,16523.3238768988,15905.9123150278,15534.1570414931,15384.8749045581,15472.7813981148,15359.6697072887,15557.8308123722,16096.8925879661
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,1113.4024472082,1237.0792370243,1235.8920971509,1363.4530441229,1303.7394134418,1381.9721669313,1455.3083362206,1906.1929840541,2915.2665830592,6921.4364456066,7226.4308729155,8459.3242144142,9914.1238116941,10711.8660443789,14941.0623988482,25412.9949521137,21821.7949850132,20687.399753787,18123.8598938959,17332.9747852594,15694.5399936988,10211.5962849234,11591.7862731429,11006.8705102008,11869.9872742083,13604.1568256967,13901.7217323451,15270.4861206552,14572.1085346687,14117.3921420669,15929.1637617664,16789.0371707142,16656.0898805207,12690.6893244622,14097.9315882546,18008.4482589612,16468.1288626009,16846.0219841083,18555.5664851075,21896.6052658777,26102.1334542119,30980.9669198566,32672.3671711068,37951.2805959782,27965.4750379503,35268.1011703581,47017.0273004715,47651.2590896413,44597.279681535,41590.8650226649,30967.890506377,26938.5033823025
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,331.5312268811,348.236452074,345.5152164205,374.7585489865,373.0604584263,368.633587243,416.9684060002,505.9227309406,548.754397259,520.4078194051,557.972148307,465.3885839326,471.839254161,449.6882539679,524.2981457797,588.593902705,609.343017575,692.1262063979,695.2902532515,751.5757717288,765.8632357657,807.9387672687,885.6382245309,997.7417140733,1097.457087621,1247.061391609,1335.456905886,1741.142551689,1795.1813072028,1770.2344965917,2178.9213830797,2458.0459761545,2422.0080157783,2350.8828892447,2522.7960081798,2613.6451768165,2804.0002229857
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,57.9776818817,61.2422482773,64.7070068015,67.3758705909,71.6495191118,76.6772212316,83.7346999599,92.6258754026,101.4765519808,114.8342053305,138.3633259793,176.6637969929,222.4694499801,317.6646402758,384.4187545682,430.0741230663,433.6515140615,506.3237593877,636.4664376838,850.348695778,1059.6967003512,1034.1532180269,943.3196682373,1052.732039156,1077.742540343,937.4744617826,1135.1674439932,1554.4199323613,2031.4182198375,2301.9897261452,2750.9500257402,2783.0215032752,2848.2069868798,2783.2379312319,2779.1138317416,3014.8678581542,3022.176753232,3065.527267952,2869.182503359,3226.2956741068,3349.0688227765,3128.0977926045,3055.6183824715,4163.0659057845,4896.5838348113,5351.2537317165,5374.5548669078,5714.0479369416,5623.3795661359,5185.7298453814,6346.1562038735,7645.2146086203,7029.2314531408,7007.6257832772,7497.7623763506,6532.0605013676,6788.0427453757
Central African Republic,CAF,GDP per capita (current US$),NY.GDP.PCAP.CD,74.5959442514,80.5208019919,79.9677957744,81.5879156526,87.8587465028,91.3220540229,93.8448211707,95.3219206925,109.2477810372,104.9197036768,103.4098670271,108.0397857166,121.1997303811,140.0130735355,142.4427622691,187.6996489819,218.7506575985,240.3735876557,282.3812261036,315.8626112279,349.6099162054,296.0645947316,309.3677325726,264.1972435941,248.5851878224,328.3119197776,416.1188418694,435.8930918474,449.7829378253,429.5415540707,490.07456193,456.89778577,456.0741539956,401.9779715851,260.4835710612,332.6773771608,293.3188854137,266.6076446595,268.9004231291,271.8551165091,243.5429317438,243.1586486292,253.7068342826,286.250801904,313.2105980447,327.1149460789,347.6073677663,397.1480466633,456.8614333977,449.9601839092,446.4434493752,494.3306778865,486.4101139662,337.4849613983,377.1320274197,348.3814170337,382.2131743177
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,2294.5688142158,2231.2938237478,2255.2300441304,2354.8391219798,2529.5181790541,2739.5858492819,3010.7059075795,3173.0761935223,3411.0601543446,3703.9904052553,4121.9328092489,4586.2558480315,5141.6167249519,5870.6005636841,7043.4743508384,7489.9405311583,8783.7215920411,8892.7616798895,9096.0587223253,10012.4439669407,11135.4379854841,12297.7856877506,12439.7478409307,13377.8956545368,13826.6499923594,14060.4617782265,14403.8287021822,16245.4516791506,18864.2629180983,20638.2900486958,21371.2910981421,21664.598643531,20771.2503529737,20017.4298480977,19859.2039778368,20577.4893858895,21183.2200827089,21770.1340814172,20887.8394667666,22167.2258498882,24124.169174631,23691.5947188738,24167.8043060561,28172.1488309084,31979.8719510723,36189.5883840265,40386.6994835116,44544.5268004039,46596.3359912609,40773.4543637445,47447.4760241936,52082.2107601003,52496.6948704709,52413.7211560786,50440.4337553383,43315.7004418128,42157.9279910146
Central Europe and the Baltics,CEB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2312.6277207147,2199.9346112776,2361.9071086477,2488.2946070446,2824.066267695,3512.9058279283,3766.1371747482,3735.5982217387,4097.2428928991,3977.1362956615,3943.9878222694,4342.857257044,4922.1097780421,5941.1715731858,7161.4480821091,8342.4362988721,9461.0986593494,11951.6871540477,14489.1505237772,12197.8738197997,12556.939168058,13882.7354221725,12996.3408033274,13704.5666523128,14125.8618518034,12411.0716190666,12657.3868037068
